id,time,cur_frame,total_frames,rarm_pos_x,rarm_pos_y,rarm_pos_z,rarm_yaw,rarm_roll,rarm_pitch,rhand_pos_x,rhand_pos_y,rhand_pos_z,rhand_yaw,rhand_roll,rhand_pitch,rhand_vel_x,rhand_vel_y,rhand_vel_z,rfinger1_pos_x,rfinger1_pos_y,rfinger1_pos_z,rfinger1_yaw,rfinger1_roll,rfinger1_pitch,rfinger1_vel_x,rfinger1_vel_y,rfinger1_vel_z,rfinger2_pos_x,rfinger2_pos_y,rfinger2_pos_z,rfinger2_yaw,rfinger2_roll,rfinger2_pitch,rfinger2_vel_x,rfinger2_vel_y,rfinger2_vel_z,rfinger3_pos_x,rfinger3_pos_y,rfinger3_pos_z,rfinger3_yaw,rfinger3_roll,rfinger3_pitch,rfinger3_vel_x,rfinger3_vel_y,rfinger3_vel_z,rfinger4_pos_x,rfinger4_pos_y,rfinger4_pos_z,rfinger4_yaw,rfinger4_roll,rfinger4_pitch,rfinger4_vel_x,rfinger4_vel_y,rfinger4_vel_z,rfinger5_pos_x,rfinger5_pos_y,rfinger5_pos_z,rfinger5_yaw,rfinger5_roll,rfinger5_pitch,rfinger5_vel_x,rfinger5_vel_y,rfinger5_vel_z,larm_pos_x,larm_pos_y,larm_pos_z,larm_yaw,larm_roll,larm_pitch,lhand_pos_x,lhand_pos_y,lhand_pos_z,lhand_yaw,lhand_roll,lhand_pitch,lhand_vel_x,lhand_vel_y,lhand_vel_z,lfinger1_pos_x,lfinger1_pos_y,lfinger1_pos_z,lfinger1_yaw,lfinger1_roll,lfinger1_pitch,lfinger1_vel_x,lfinger1_vel_y,lfinger1_vel_z,lfinger2_pos_x,lfinger2_pos_y,lfinger2_pos_z,lfinger2_yaw,lfinger2_roll,lfinger2_pitch,lfinger2_vel_x,lfinger2_vel_y,lfinger2_vel_z,lfinger3_pos_x,lfinger3_pos_y,lfinger3_pos_z,lfinger3_yaw,lfinger3_roll,lfinger3_pitch,lfinger3_vel_x,lfinger3_vel_y,lfinger3_vel_z,lfinger4_pos_x,lfinger4_pos_y,lfinger4_pos_z,lfinger4_yaw,lfinger4_roll,lfinger4_pitch,lfinger4_vel_x,lfinger4_vel_y,lfinger4_vel_z,lfinger5_pos_x,lfinger5_pos_y,lfinger5_pos_z,lfinger5_yaw,lfinger5_roll,lfinger5_pitch,lfinger5_vel_x,lfinger5_vel_y,lfinger5_vel_z,sign
0,1518178,0,34,111.626785,24.30655,254.28,-0.22482878,0.56511205,-0.7937886,38.227634,189.10187,15.726439,-0.21026172,0.5635865,-0.79884934,-3.333387,-9.939282,-42.52823,-79.14363,-37.54689,-18.205656,-0.7434762,-0.008318962,-0.66871065,-0.6022895,-10.005566,-45.151245,-49.384396,47.002533,-74.440704,-0.29508844,0.43618417,-0.8500978,-2.3077958,-12.720884,-44.593502,-10.145466,36.80638,-96.657906,-0.035719752,0.19805555,-0.97953975,-2.0208945,-4.1203227,-41.32647,7.8370094,-34.694046,-12.613459,0.050211214,-0.75540614,0.6533302,-3.6912692,-9.577316,-46.044434,20.102303,-26.797882,-12.689478,-0.15193258,-0.74333066,0.6514415,-2.9789844,-9.392391,-46.24614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
1,51460984,1,34,112.42722,23.954523,251.67328,-0.2301395,0.56303847,-0.7937402,37.92954,188.20007,13.017421,-0.20582065,0.56286114,-0.8005156,-5.2544928,-15.379658,-40.128365,-78.95232,-37.51552,-18.700249,-0.7384609,-0.008512201,-0.67424256,-1.1632743,-16.034042,-49.87596,-48.9174,46.926895,-74.78302,-0.28935036,0.43601465,-0.8521547,3.2480097,-15.419003,-45.328274,-9.611179,37.027542,-96.67084,-0.030769445,0.20195247,-0.9789119,3.8583784,-8.3139105,-39.233326,7.8433647,-34.691925,-12.74272,0.04548539,-0.75752735,0.65121686,-4.214608,-14.517958,-43.72443,20.162231,-26.805115,-12.691647,-0.15491614,-0.74508953,0.6487238,-3.1087139,-14.750178,-40.15369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
2,102095058,2,34,114.84488,24.593847,250.6679,-0.23955607,0.5566812,-0.7954363,38.021698,187.40367,11.6681185,-0.20548934,0.5658345,-0.798502,0.7700732,-12.684167,-22.23897,-78.67447,-37.51935,-19.190956,-0.73452216,-0.006820597,-0.6785504,5.211522,-12.344136,-30.368454,-48.812775,47.166824,-74.68406,-0.2875479,0.4398936,-0.8507701,3.7500732,-8.178094,-20.994587,-9.533804,37.688095,-96.460754,-0.030116366,0.20991284,-0.9772562,2.6175377,-1.4932392,-18.764835,7.870636,-34.626312,-12.902632,0.045305327,-0.7600529,0.64828,1.1417528,-11.43955,-24.873945,20.21658,-26.71289,-12.927934,-0.15325312,-0.7504842,0.64287394,2.0446603,-11.192534,-25.389084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3,152448989,3,34,116.10947,24.652296,249.94473,-0.24434721,0.5553542,-0.7949064,38.09624,187.12605,11.072261,-0.20540355,0.56569964,-0.7986196,1.5756681,-8.437877,-17.808147,-78.522934,-37.503006,-19.363901,-0.73262477,-0.0067055174,-0.68059975,5.329349,-7.7609324,-22.360563,-48.75133,47.11293,-74.74204,-0.28646603,0.43942493,-0.85137707,3.8502314,-8.506926,-18.781216,-9.524199,37.835083,-96.42702,-0.03020351,0.21206778,-0.9767881,1.7184575,-3.5049253,-16.539751,7.856785,-34.621216,-12.92635,0.045053482,-0.760041,0.64831156,1.2442228,-8.0346775,-18.43305,20.22345,-26.70897,-12.964415,-0.15246187,-0.7508911,0.6425869,2.0499516,-8.163188,-18.831392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
4,203306804,4,34,115.0062,24.675646,249.39708,-0.23950788,0.5549703,-0.7966454,38.211777,187.0451,10.080719,-0.20512816,0.5655106,-0.79882425,1.7134739,-1.4030939,-16.187786,-78.3811,-37.513535,-19.535103,-0.73105234,-0.007042773,-0.682285,4.4667554,-2.296584,-19.698605,-48.658768,47.0925,-74.79917,-0.28498426,0.4400101,-0.8515721,3.585332,-0.9097885,-16.735426,-9.491655,37.9767,-96.398735,-0.03005864,0.21402976,-0.97636455,2.3687801,1.9233357,-15.359936,7.83762,-34.590378,-13.016296,0.044463594,-0.7606,0.64769644,1.9046108,-0.3984251,-17.804302,20.238121,-26.710419,-12.974461,-0.1514809,-0.750838,0.6428809,2.599428,-1.0504633,-16.157518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
5,253495726,5,34,113.934074,24.566679,248.74986,-0.23437355,0.55640197,-0.7971737,38.34216,187.1979,9.278128,-0.20680809,0.5639145,-0.7995191,2.37415,3.03081,-19.584862,-78.28502,-37.70131,-19.467953,-0.7313837,-0.009535739,-0.68189955,4.716788,-0.97479737,-18.972878,-48.773254,46.879257,-74.851265,-0.2859284,0.4385038,-0.8520325,0.9532863,-0.7848033,-20.752882,-9.618593,37.887543,-96.43098,-0.030955506,0.21338981,-0.9764766,0.35927615,1.8455899,-20.126211,7.883728,-34.57614,-13.041077,0.046106234,-0.7601969,0.6480547,3.445086,3.6451418,-20.18597,20.294155,-26.685074,-12.969848,-0.14862181,-0.7504484,0.6440021,3.940164,3.6260955,-19.144163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
6,303999750,6,34,115.15563,24.76832,247.41599,-0.23835476,0.55727136,-0.79538393,38.472122,187.49638,8.362051,-0.20915747,0.56211835,-0.80017257,1.899743,5.6480374,-14.766158,-78.07532,-38.054123,-19.488174,-0.73109,-0.013387927,-0.68214965,5.0756526,0.44763577,-15.109779,-48.8893,46.577194,-74.9437,-0.28635588,0.43685597,-0.8527351,1.292269,1.191289,-16.662252,-9.7426605,37.872116,-96.441864,-0.03135962,0.21386707,-0.9763593,0.58327705,3.9332662,-15.517823,8.011692,-34.533676,-13.091475,0.048880134,-0.76003397,0.6480425,3.8143113,6.270582,-14.894038,20.425533,-26.6109,-12.962167,-0.14399119,-0.75057334,0.6449079,4.096923,6.538691,-13.8380785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
7,354102904,7,34,114.02322,24.359474,246.4705,-0.23337719,0.56069815,-0.7944512,38.53085,187.87254,7.6295466,-0.21024749,0.5609656,-0.8006957,1.4219828,8.001912,-16.278149,-77.94258,-38.174637,-19.52287,-0.7305423,-0.014896736,-0.682705,4.295546,4.9073577,-16.753689,-48.91721,46.42462,-75.00298,-0.28613147,0.43600357,-0.85324657,1.1502095,4.7821856,-17.580244,-9.821579,37.787537,-96.47138,-0.03188586,0.21308357,-0.97651356,-0.19059916,5.944018,-17.02854,8.050808,-34.529053,-13.08429,0.050020963,-0.75942653,0.6486673,2.561057,8.21977,-15.937726,20.469242,-26.594345,-12.956261,-0.14194165,-0.7503129,0.6456649,2.765073,8.417181,-15.703628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
8,404557052,8,34,112.26261,23.648838,245.83604,-0.22592598,0.5642923,-0.79406023,38.58732,188.09998,7.133963,-0.21115537,0.5620014,-0.7997299,1.3198467,5.475551,-11.941476,-77.787674,-38.25174,-19.695616,-0.7294696,-0.014676358,-0.6838558,4.9401975,3.7396352,-15.613911,-48.938477,46.48256,-74.93944,-0.28595102,0.43756545,-0.8525072,1.1813312,7.185837,-10.386129,-9.8742695,37.970886,-96.39833,-0.032116853,0.21504498,-0.9760759,0.010030945,8.733035,-10.554987,8.094818,-34.48587,-13.181652,0.051003918,-0.76076436,0.64702106,2.401767,6.411876,-13.6412945,20.516594,-26.544724,-13.009779,-0.14013098,-0.7516834,0.64446515,2.522253,6.538826,-12.738689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
9,455333295,9,34,99.37521,21.897364,244.49776,-0.1749331,0.5743941,-0.79966855,38.341152,188.89922,4.444681,-0.21468939,0.56575054,-0.79613745,-3.2094228,11.308467,-37.46031,-76.13742,-39.81137,-21.596706,-0.7132628,-0.023204004,-0.7005125,21.078463,-9.041402,-65.11434,-48.99401,46.262085,-75.01385,-0.28385285,0.44373927,-0.85001355,-3.436273,10.154548,-37.579117,-9.61339,38.766083,-96.10376,-0.025811872,0.22322023,-0.9744262,-0.4216728,21.076426,-33.562996,9.130299,-34.151108,-13.223527,0.06290863,-0.7602289,0.64660233,11.543387,15.4888735,-34.852085,21.320808,-25.892242,-13.044611,-0.12952968,-0.7621159,0.6343512,7.8865232,20.305536,-37.887714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
10,505603789,10,34,100.48055,22.203056,242.84073,-0.1793644,0.5742557,-0.7987858,38.274616,189.22572,3.0691187,-0.21744037,0.56858385,-0.79336756,-2.0897453,7.9429135,-33.09677,-74.16451,-40.46939,-23.712486,-0.683541,-0.024269974,-0.7295085,48.696842,-4.5332346,-88.21239,-48.966125,46.37628,-74.91637,-0.28141364,0.45204705,-0.8464395,-0.4142918,15.003308,-28.677134,-9.679031,39.040573,-95.94766,-0.025628807,0.22160538,-0.9747996,-6.0309176,8.662889,-30.87229,9.719303,-33.939972,-13.269904,0.070111796,-0.76046056,0.64558816,12.094808,12.118395,-29.757164,21.786903,-25.495514,-13.075893,-0.121529296,-0.7677774,0.6290854,8.689362,16.962317,-33.239002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
11,555787583,11,34,102.36226,23.896162,242.301,-0.18638456,0.5684139,-0.80135286,38.195473,189.39346,1.9405018,-0.22345442,0.5694455,-0.7910752,-1.3518785,3.6782231,-18.440166,-69.223816,-40.810425,-28.238775,-0.60842735,-0.020934505,-0.7933334,91.911064,1.8346608,-103.98288,-49.003777,46.209885,-74.87862,-0.2781527,0.45670637,-0.845015,0.92901254,2.4086266,-18.094423,-10.6669235,37.768204,-96.125984,-0.038196556,0.19099127,-0.9808483,-24.5344,-34.55828,-25.780712,10.514748,-33.755615,-12.745031,0.08342341,-0.7486219,0.6577278,13.055328,5.260528,-1.7405137,22.377354,-25.060455,-12.919543,-0.10601372,-0.7679906,0.6316261,8.728808,10.027174,-12.32881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
12,606358264,12,34,102.66082,24.54483,242.42494,-0.1868592,0.5653816,-0.8033849,38.32262,189.55557,1.7404581,-0.22484756,0.57507145,-0.786598,1.9368098,3.6233187,-6.590384,-64.9054,-40.346375,-32.17729,-0.5449008,-0.012429765,-0.8384084,94.98367,10.380313,-88.36765,-48.727497,46.678543,-74.62225,-0.2723465,0.45924696,-0.8455292,9.327905,10.046089,-3.4131832,-12.1039505,34.893784,-96.50019,-0.057880703,0.1351192,-0.9891373,-31.202349,-68.62397,-17.619255,10.741974,-33.732742,-12.366455,0.087890275,-0.74239343,0.66417414,8.474619,3.306764,5.4328375,22.50904,-24.975677,-12.903273,-0.100369975,-0.7688198,0.63153934,5.7338667,4.9016695,-2.4400904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
13,655904861,13,34,102.91504,25.055387,242.32335,-0.18685596,0.563216,-0.80490535,38.484467,189.81485,1.474443,-0.22682267,0.58084655,-0.78177285,3.0765538,5.599996,-5.9346952,-61.43576,-39.674942,-35.08743,-0.4975234,-7.3739595E-4,-0.86745024,84.82735,20.061598,-71.3333,-48.178726,46.428482,-74.76997,-0.261869,0.44103977,-0.8584338,17.92693,-12.620479,-17.480442,-13.402288,32.228897,-96.71816,-0.07299898,0.08867227,-0.9933823,-25.825872,-59.944427,-11.794402,10.840744,-33.73448,-12.250181,0.09107858,-0.741969,0.6642189,6.6860647,4.6304474,0.6560783,22.555786,-24.940323,-12.929783,-0.095911466,-0.7699001,0.63091594,4.7862515,5.5895553,-3.2613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
14,706393503,14,34,104.39045,25.035967,241.51115,-0.19192965,0.563593,-0.8034463,38.554047,190.18292,1.2686806,-0.22973634,0.5867143,-0.7765227,1.1236914,5.2211933,-3.5271754,-57.679802,-38.81102,-37.9134,-0.44901437,0.013077705,-0.8934288,62.31113,21.151325,-46.448414,-46.461613,42.046143,-77.17529,-0.23389573,0.34801713,-0.90784186,29.957754,-97.94293,-58.913265,-14.600422,30.217758,-96.75139,-0.08569457,0.055957478,-0.99474883,-17.410198,-24.751638,-3.014716,10.914658,-33.746582,-12.210962,0.09477392,-0.7433056,0.6622044,3.1615589,4.0945926,-0.07142367,22.599812,-24.92427,-12.892325,-0.089768626,-0.76921934,0.6326478,2.1515055,4.964358,-0.2359528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
15,757059273,15,34,104.02802,24.953718,241.35052,-0.18986139,0.5637696,-0.8038137,38.538643,190.14928,1.0953972,-0.2329904,0.58680063,-0.77548724,-0.2741236,-0.3268114,-4.142223,-54.86216,-37.578278,-39.549614,-0.41291732,0.029432744,-0.9102928,68.5155,34.908966,-42.48644,-46.156944,37.69217,-79.02387,-0.23180404,0.2805296,-0.9314344,2.494537,-101.34859,-45.04434,-15.393438,29.373993,-96.77658,-0.09426811,0.046103116,-0.99447876,-19.325216,-20.072477,-3.7881625,11.00885,-33.876648,-11.451965,0.10068338,-0.7302248,0.67574745,3.0555434,-3.3477721,17.323978,22.626293,-25.009628,-12.363154,-0.08142737,-0.75450087,0.6512281,0.76157427,-2.4087074,12.410262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
16,806925168,16,34,103.90344,25.185966,240.70518,-0.18973096,0.56346154,-0.80406046,37.992203,189.3356,0.011615016,-0.24206097,0.5682645,-0.78643626,-12.09846,-17.18218,-27.026875,-51.71095,-37.1593,-40.159286,-0.37582865,0.02387905,-0.92638147,58.669724,-2.7796454,-40.274,-46.894527,34.30542,-80.01735,-0.24125531,0.2406478,-0.94015133,-27.881245,-101.017395,-50.952187,-17.20983,25.573715,-97.35673,-0.11458333,0.0035731387,-0.9934072,-55.749146,-107.07111,-38.36506,11.21133,-34.250137,-9.564581,0.11360708,-0.6946226,0.710347,-7.3189015,-26.756117,25.17868,22.709953,-25.326355,-10.747083,-0.06403319,-0.71027327,0.7010076,-11.561756,-26.278252,14.6494875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
17,857132269,17,34,103.97873,25.088367,240.27151,-0.18993412,0.5645138,-0.80327404,37.50442,188.00725,-0.8333777,-0.2507584,0.53749865,-0.80511826,-6.245595,-19.955256,-11.892538,-45.81939,-36.361786,-41.280594,-0.3044601,0.0062431376,-0.95250463,100.82344,-5.808028,-35.545742,-46.734093,23.772736,-82.49252,-0.23300295,0.074184984,-0.96964234,4.629185,-231.7649,-55.952595,-21.846542,11.307709,-97.17927,-0.16876812,-0.19295278,-0.966585,-85.048355,-292.7225,2.26926,10.950386,-34.82596,-6.5479693,0.12532128,-0.63705105,0.76056594,-11.086278,-27.961174,33.375584,22.297935,-26.265991,-8.725453,-0.05111461,-0.6534711,0.7552237,-13.18597,-34.841553,21.706493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
